#{"t_start": 1524090431.0450215, "env_id": "Hopper-v2"}
r,l,t
41.45706,40,9.509861
66.021489,39,9.550138
7.370913,9,9.559652
29.276357,32,9.592791
12.314627,24,9.617404
12.247409,22,9.640787
9.634072,16,9.657537
9.134145,22,9.680335
10.917952,23,9.704104
46.000112,44,9.749907
19.816589,20,9.770694
24.320728,22,9.793547
9.845896,20,9.814265
27.316644,23,9.83807
73.561271,60,10.865721
130.228728,69,10.951903
156.490951,110,11.072435
244.510681,129,11.22097
19.872688,22,11.245408
28.164255,28,11.275224
45.290058,42,11.319919
13.750444,15,11.336275
26.563744,26,11.365119
22.842092,24,11.39112
18.59438,18,11.410683
143.426997,77,11.499894
195.646779,113,11.626309
152.692185,83,11.720723
193.802167,86,11.812424
106.788804,67,11.884564
34.276057,33,11.921077
23.352294,22,11.945625
97.890257,57,12.007503
74.070512,46,12.057553
25.231245,23,12.082548
24.375005,26,12.11083
74.000947,42,12.156065
74.131978,50,12.210977
197.163359,102,12.322537
148.491262,75,12.404806
53.688369,33,12.441469
65.13877,38,12.482834
150.736777,78,12.568882
129.983388,71,12.649717
128.235285,92,12.749999
130.549337,72,12.827474
52.122808,31,12.860217
85.304064,55,12.916723
104.582562,59,12.980573
92.974596,51,13.034327
150.511591,84,14.146222
87.906162,50,14.198752
154.69483,79,14.283972
71.309451,46,14.331388
54.87683,34,14.366384
121.722537,62,14.429441
19.86923,32,14.462502
100.85023,64,14.529719
6.368355,12,14.542894
139.946567,82,14.628669
42.488086,33,14.665176
74.041415,42,14.708137
89.590251,55,14.767133
76.690096,44,14.825144
66.677194,40,14.867083
82.54112,48,14.928358
70.082731,42,14.973114
163.562458,83,15.059284
112.495782,68,15.127795
34.128972,26,15.154326
135.238463,83,15.239268
13.481235,39,15.292458
176.381785,100,15.408716
53.590608,32,15.448934
167.414894,87,15.553805
88.240691,49,15.612626
16.466805,18,15.633011
113.307668,63,15.702575
161.822165,83,15.787993
171.709512,85,15.87502
137.282065,74,15.950311
78.58195,47,15.997891
143.554025,74,16.07342
93.259516,79,16.153388
19.306714,28,16.182124
73.853279,44,16.226678
114.970315,61,16.28884
102.977481,58,17.208994
66.570613,40,17.249611
95.738414,55,17.30553
215.19633,96,17.402978
76.762881,48,17.45195
172.031862,82,17.535443
107.515019,59,17.594959
206.267857,102,17.699235
222.240522,108,17.808726
141.009768,71,17.881416
68.769912,41,17.922877
131.798378,88,18.012124
124.017567,78,18.0913
217.440741,106,18.198728
43.095951,35,18.234625
77.383525,45,18.280278
123.306444,66,18.346743
102.358339,59,18.406796
114.866445,70,18.477685
82.105757,52,18.530607
128.148891,66,18.597453
124.282235,66,18.665829
211.610102,94,18.761557
159.519367,85,18.847658
57.93455,35,18.883475
171.454952,82,18.967172
111.065604,70,19.038212
155.475613,78,19.117018
98.99185,55,19.17276
108.530474,63,19.236179
161.79524,87,20.442757
185.360271,92,20.562652
153.686029,74,20.658154
104.13903,61,20.732431
240.266541,110,20.867003
218.492721,94,20.984217
206.758663,101,21.107697
212.461574,104,21.233873
74.397706,45,21.287648
225.910056,110,21.418607
232.781035,113,21.551345
70.245581,42,21.602046
207.140864,97,21.705768
69.161331,41,21.749945
244.392862,119,21.871356
229.666862,108,21.981513
223.806313,100,22.08406
141.323428,76,22.162302
95.814533,54,22.217206
114.753144,62,22.280496
261.778037,115,22.397264
118.89143,62,22.460792
231.101012,102,22.565191
178.014988,83,22.655746
143.178457,76,23.704144
241.545361,111,23.828368
235.210365,118,23.955087
258.151052,112,24.076301
77.456132,45,24.125196
234.907124,115,24.246243
288.701007,133,24.394309
281.139937,125,24.553495
136.64902,74,24.647679
232.386945,110,24.785317
155.813291,87,24.89256
188.171299,94,25.010401
191.458499,104,25.139009
138.553192,75,25.220593
67.693895,40,25.263925
213.01967,95,25.361027
222.770945,106,25.482274
209.639675,101,25.605005
235.600277,107,25.743757
232.494312,106,25.868022
78.037461,46,25.920672
247.080121,106,27.032689
201.786726,91,27.128079
234.020111,104,27.235312
265.15998,116,27.355685
285.719443,126,27.48416
219.342408,100,27.586836
241.476596,130,27.722071
226.607761,105,27.835663
245.798748,110,27.948586
228.378173,109,28.059873
76.289132,51,28.112745
223.111004,100,28.214972
228.394599,103,28.321131
216.442837,96,28.419513
197.55111,100,28.533554
237.721105,107,28.652283
287.324275,128,28.784957
242.990255,104,28.891088
85.612812,50,28.941891
233.785872,104,29.059504
261.666032,124,30.243821
218.452833,96,30.342391
215.35508,105,30.452604
236.901043,110,30.56788
252.611801,112,30.709483
284.759878,125,30.868151
247.911923,108,30.999055
239.072449,108,31.111816
271.845583,123,31.257585
266.671329,113,31.39915
247.447091,111,31.531259
237.544023,106,31.652865
228.771656,108,31.763317
249.184886,121,31.886475
252.563008,116,32.014805
236.945105,111,32.153683
234.175858,109,32.283892
254.378595,115,32.400614
238.492861,113,33.543581
258.990242,115,33.664175
267.089779,128,33.795534
218.593623,106,33.905673
252.408194,112,34.021565
242.968827,108,34.135031
242.22968,115,34.253555
236.982432,109,34.366502
229.915526,105,34.482344
257.496711,110,34.604066
235.566786,112,34.731781
275.798954,117,34.859111
252.187423,119,34.988462
227.380634,114,35.115677
217.983601,102,35.224998
