#{"t_start": 1524074778.0551548, "env_id": "Ant-v2"}
r,l,t
-2374.305092,1000,66.97517
-143.736118,69,67.092956
-61.467195,22,67.130925
-37.430561,15,67.156842
-50.927253,24,67.19756
-230.571934,89,67.349344
-2316.91203,1000,70.457935
-41.008149,25,70.500413
-127.683493,55,70.593867
-129.008439,66,70.705564
-23.977154,25,70.747994
-32.869515,14,70.771993
-40.093841,17,70.80075
-201.162647,62,70.906958
-279.500415,86,71.056351
-63.804376,41,71.134
-53.824264,20,71.169017
-85.6532,46,71.247185
-47.048881,24,71.287757
-116.595308,65,71.398298
-54.686314,28,71.446465
-96.528404,31,71.498727
-30.572417,14,71.522458
-288.858013,156,71.786164
-84.767303,54,71.880312
-245.170732,106,72.079809
-42.453691,33,72.136373
-37.964926,22,72.176606
-2178.259534,1000,75.370844
-88.191327,69,75.491531
-55.372542,19,75.523437
-51.299563,27,75.567965
-149.555217,69,75.682457
-336.293629,130,75.9031
-56.525259,36,75.964024
-40.180632,21,75.997472
-26.833073,13,76.018705
-233.872722,115,76.212375
-28.302893,13,76.234761
-28.121385,16,76.262002
-14.383853,18,76.29171
-310.663839,153,76.55252
-354.052991,133,76.770531
-128.910301,50,76.854837
-155.671024,40,76.919837
-26.478464,11,76.937819
-37.938539,15,76.96307
-146.756417,55,77.055651
-120.718795,38,77.127882
-48.388029,19,77.165891
-267.226582,101,77.337515
-43.819421,47,77.413986
-119.703308,48,77.491124
-130.942595,50,77.574796
-92.564138,52,77.661933
-254.75541,119,77.864847
-19.48325,9,77.880931
-59.157061,28,77.930324
-26.682316,14,77.957748
-129.770719,52,78.056938
-357.37246,148,78.301013
-34.136267,26,78.344054
-36.709738,24,78.384392
-37.761529,14,78.408393
-423.741135,168,80.118829
-322.080226,170,80.407133
-63.252168,25,80.449872
-2092.565242,1000,82.162561
-50.7126,24,82.205153
-86.833147,38,82.273578
-106.714604,54,82.362764
-29.56653,13,82.384227
-243.153863,78,82.508834
-52.880737,18,82.538239
-161.895853,72,82.656085
-84.641742,35,82.71368
-122.076433,51,82.798414
-51.611179,24,82.838612
-93.354551,33,82.89708
-130.434841,49,82.984179
-50.726358,31,83.039924
-124.324617,60,83.14016
-154.392246,83,83.282733
-189.263855,69,84.821483
-82.607834,62,84.932046
-2216.738936,1000,86.695657
-72.931591,31,86.749129
-66.583235,33,86.80483
-2158.705825,1000,89.937303
-169.476501,97,90.108528
-23.238933,10,90.126831
-50.384908,20,90.160689
-2102.636383,1000,91.920014
-352.84234,147,92.171928
-30.890894,13,92.19331
-25.508205,13,92.214899
-209.68082,115,92.405956
-94.003438,51,92.492029
-39.272994,15,92.516895
-235.328575,126,92.728418
-2130.594442,1000,95.886695
-34.729381,13,95.908088
-78.992396,26,95.952549
-29.16998,18,95.983144
-148.714033,63,96.089157
-2064.532496,1000,97.819991
-17.181767,8,97.83382
-146.257734,67,97.950328
-209.09329,91,98.110041
-153.045706,68,98.228589
-41.956464,15,98.255503
-37.799403,15,99.715141
-46.012829,41,99.788837
-34.20609,15,99.819536
-30.351817,22,99.857951
-82.214204,24,99.899326
-41.290614,23,99.938277
-296.439528,126,100.155403
-80.930343,31,100.209742
-36.741476,23,100.2487
-2051.597984,1000,102.001544
-82.437309,23,102.041033
-2019.336087,1000,105.21846
-76.284385,38,105.282887
-19.503905,15,105.308117
-190.352819,86,105.456939
-49.155676,30,105.507787
-93.36466,63,105.614541
-293.32247,180,105.921249
-40.056673,20,105.955211
