#{"t_start": 1524075484.6549065, "env_id": "Ant-v2"}
r,l,t
-131.501009,38,74.543517
-51.175882,23,74.586951
-80.8961,20,74.625165
-50.806538,19,74.661315
-59.600879,23,74.702853
-256.240147,65,74.820173
-64.412688,22,74.85992
-55.897676,17,74.890431
-2972.356351,1000,78.330994
-111.259976,39,78.407431
-43.067343,11,78.430136
-59.300786,34,78.498904
-144.218804,48,78.594425
-448.661418,135,78.864519
-2903.110769,1000,80.70278
-60.17333,16,80.731656
-141.094041,37,80.797365
-107.625205,40,80.868772
-168.793608,49,80.957433
-55.346871,25,81.003271
-62.607931,20,81.041797
-552.670575,145,81.304328
-268.542549,85,83.016237
-36.027147,10,83.037225
-167.468209,50,83.142886
-113.888057,46,83.240472
-208.293155,59,83.365664
-204.123067,71,83.513497
-93.856977,55,83.622579
-61.287984,25,83.672577
-2618.287017,880,85.323524
-98.822721,32,85.381111
-2925.53221,1000,88.837869
-69.106247,29,88.895115
-2965.830603,1000,90.754705
-59.648503,34,90.816127
-178.131884,60,90.924242
-95.889148,51,91.016263
-339.890535,113,91.218619
-45.512117,22,91.257991
-53.571869,12,91.279556
-89.703523,23,91.320775
-170.899372,55,91.419513
-58.337566,15,91.447532
-190.148566,57,91.549763
-98.605699,28,91.60124
-239.84815,75,91.738856
-214.299837,65,91.854428
-101.999975,36,91.917964
-411.936624,116,92.128005
-264.517847,78,93.850557
-70.169987,29,93.91085
-3048.683408,1000,95.827361
-263.24846,92,95.997939
-36.322145,17,96.028573
-96.126951,25,96.074211
-238.923151,61,96.187976
-144.556653,54,96.28693
-95.522813,34,96.350773
-110.190561,51,96.44404
-84.731681,27,96.495028
-185.098073,67,96.618401
-328.533159,91,96.786359
-27.836007,10,96.805365
-107.091742,41,96.88217
-141.330055,50,96.973665
-41.608022,13,96.997846
-26.421905,13,97.02111
-61.157331,22,97.061479
-259.863292,62,97.175549
-81.347036,21,97.215745
-487.799599,118,97.435402
-87.754399,26,97.483481
-319.948589,100,99.253843
-147.744837,45,99.33875
-58.245129,14,99.366518
-84.232974,28,99.422387
-155.763159,56,99.5352
-292.514865,113,99.758217
-113.5338,32,99.822848
-113.309907,40,99.900833
-54.226524,19,99.934848
-117.813286,44,100.015399
-156.293197,56,100.11619
-280.746041,84,100.266602
-218.243098,65,100.38434
-167.607025,78,100.526337
-59.622961,53,100.621607
-202.969856,55,100.720629
-3137.849377,1000,102.530779
-72.646052,24,102.574179
-108.346455,49,102.662462
-47.926027,12,102.683486
-3044.134694,1000,106.129658
-553.381576,160,106.422611
-2926.560936,1000,108.266276
-66.705395,21,108.305835
-91.198198,22,108.346375
-34.087811,15,109.94841
-40.352182,13,109.977908
-66.588563,19,110.019415
-163.852803,43,110.114512
-255.163375,104,110.328321
-94.997405,29,110.386554
-242.586268,81,110.53986
-123.029347,49,110.630536
-442.047577,126,110.861681
-169.450768,37,110.928993
-167.826295,47,111.015208
-189.242647,56,111.117142
-127.110342,38,111.185591
-338.146835,113,111.391671
-43.935256,21,111.430492
-96.065065,22,111.471477
-121.437328,41,111.546183
-56.025909,23,111.589237
-57.001641,20,111.625944
-92.059848,35,111.689693
-407.789878,114,111.903955
-44.825215,19,111.937679
-200.040441,65,112.055949
-65.779924,19,112.09248
-181.108702,48,112.179624
-98.621265,48,112.265915
-102.495847,37,112.334435
-80.811692,24,112.379105
-173.497578,54,112.479357
-146.141098,57,112.582517
-246.619688,56,112.683811
-2989.434846,1000,116.129362
-61.003337,19,116.164241
-42.686669,13,116.187589
-106.210323,37,116.256055
-31.466868,11,116.275768
-62.063205,14,116.301439
-115.975018,36,116.368876
-45.980883,17,116.399328
-103.05112,38,116.470336
-116.523631,29,116.524224
-135.594972,50,116.614855
