#{"t_start": 1524086290.5772145, "env_id": "Ant-v2"}
r,l,t
-2374.305092,1000,49.791784
-143.736118,69,49.88022
-61.467195,22,49.909982
-37.430561,15,49.929548
-50.927253,24,49.960099
-230.571934,89,50.072455
-2316.91203,1000,52.32557
-41.008149,25,52.357645
-127.683493,55,52.428567
-129.008439,66,52.513238
-23.977154,25,52.545491
-32.869515,14,52.563729
-40.093841,17,52.585491
-201.162647,62,52.664965
-279.500415,86,52.774129
-63.804376,41,52.826075
-53.824264,20,52.851619
-85.6532,46,52.91111
-47.048881,24,52.94197
-116.595308,65,53.025467
-54.686314,28,53.061499
-96.528404,31,53.1013
-30.572417,14,53.121737
-288.858013,156,53.319109
-84.767303,54,53.38795
-245.170732,106,53.522928
-42.453691,33,53.564955
-37.964926,22,53.593352
-2178.259534,1000,55.793864
-88.191327,69,55.881119
-55.372542,19,55.905506
-51.299563,27,55.94028
-149.555217,69,56.027475
-336.293629,130,56.193552
-56.525259,36,56.239027
-40.180632,21,56.265868
-26.833073,13,56.282388
-233.872722,115,56.428236
-28.302893,13,56.445138
-28.121385,16,56.465471
-14.383853,18,56.488503
-310.663839,153,56.681757
-354.052991,133,56.849289
-128.910301,50,56.912833
-155.671024,40,56.963278
-26.478464,11,56.977471
-37.938539,15,56.996894
-146.756417,55,57.066663
-120.718795,38,57.118712
-48.388029,19,57.144092
-267.226582,101,57.276711
-43.819421,47,57.336219
-119.703308,48,57.397688
-130.942595,50,57.461944
-92.564138,52,57.527714
-254.75541,119,57.678082
-19.48325,9,57.689726
-59.157061,28,57.725393
-26.682316,14,57.743413
-129.770719,52,57.809512
-357.37246,148,57.998004
-34.136267,26,58.031022
-36.709738,24,58.061679
-37.761529,14,58.079642
-423.741135,168,59.252883
-322.080226,170,59.467883
-63.252168,25,59.499696
-2092.565242,1000,60.784048
-50.7126,24,60.81571
-86.833147,38,60.863865
-106.714604,54,60.932569
-29.56653,13,60.949287
-243.153863,78,61.047793
-52.880737,18,61.070685
-161.895853,72,61.163333
-84.641742,35,61.20795
-122.076433,51,61.272644
-51.611179,24,61.303429
-93.354551,33,61.345095
-130.434841,49,61.408421
-50.726358,31,61.449599
-124.324617,60,61.525654
-154.392246,83,61.630743
-189.263855,69,62.618229
-82.607834,62,62.697819
-2216.738936,1000,63.988737
-72.931591,31,64.028157
-66.583235,33,64.06967
-2158.705825,1000,66.338493
-169.476501,97,66.461485
-23.238933,10,66.474337
-50.384908,20,66.499739
-2102.636383,1000,67.785595
-352.84234,147,67.971904
-30.890894,13,67.988675
-25.508205,13,68.005532
-209.68082,115,68.155123
-94.003438,51,68.219853
-39.272994,15,68.238847
-235.328575,126,68.39736
-2130.594442,1000,70.587872
-34.729381,13,70.604418
-78.992396,26,70.637662
-29.16998,18,70.661012
-148.714033,63,70.740126
-2064.532496,1000,72.021913
-17.181767,8,72.032428
-146.257734,67,72.118299
-209.09329,91,72.233437
-153.045706,68,72.319106
-41.956464,15,72.338392
-37.799403,15,73.30909
-46.012829,41,73.361093
-34.20609,15,73.380401
-30.351817,22,73.414206
-82.214204,24,73.445702
-41.290614,23,73.474706
-296.439528,126,73.634638
-80.930343,31,73.67481
-36.741476,23,73.70365
-2051.597984,1000,74.992912
-82.437309,23,75.021875
-2019.336087,1000,77.237355
-76.284385,38,77.285395
-19.503905,15,77.304383
-190.352819,86,77.413586
-49.155676,30,77.45181
-93.36466,63,77.532465
-293.32247,180,77.758579
-40.056673,20,77.784022
-37.932073,16,77.804465
-41.980965,24,77.834839
-119.773,57,77.906091
-1940.617233,1000,79.191809
-421.812074,226,80.449668
-87.30246,51,80.516643
-54.498004,45,80.580704
-57.921045,24,80.611197
-76.697851,51,80.676169
-89.889981,26,80.709462
-143.277215,70,80.798494
-69.182493,33,80.84039
-2002.627756,1000,82.132749
-173.003866,67,82.217723
-76.186141,47,82.278527
-180.649195,90,82.392496
-60.845276,25,82.424829
-57.338842,47,82.484231
-10.653377,12,82.499977
-31.650149,30,82.537832
-102.147462,49,82.600533
-80.671653,43,82.655015
-149.267246,75,82.750008
-85.077422,41,82.801765
-88.371448,60,82.879502
-65.699658,31,82.91947
-51.173661,23,82.949061
-102.193018,50,83.012796
-114.652514,38,83.060711
-82.465631,37,84.016681
-49.870106,25,84.048145
-56.988626,47,84.109966
-55.958724,18,84.133158
-11.581764,16,84.153769
-10.860895,15,84.172941
-78.912346,50,84.236106
-48.859018,24,84.266871
-71.713072,24,84.297304
-179.719594,114,84.441735
-29.852755,14,84.459682
-1891.462798,1000,85.739826
-29.252124,16,85.760458
-22.059172,12,85.775721
-43.903519,22,85.803516
