#{"t_start": 1524091982.1451426, "env_id": "HalfCheetah-v2"}
r,l,t
49.957004,1000,115.322362
173.660174,1000,116.351059
122.77188,1000,118.303182
120.151356,1000,119.305992
227.852421,1000,121.150483
198.621774,1000,122.087112
223.464925,1000,123.150557
192.093378,1000,125.130944
64.3945,1000,126.114551
218.600352,1000,127.993117
273.308386,1000,128.960561
243.833412,1000,130.906104
304.54477,1000,131.982328
286.666569,1000,133.844227
198.998751,1000,134.822199
306.081026,1000,136.745495
295.272407,1000,137.680609
366.95607,1000,139.493956
361.153802,1000,140.438411
377.111409,1000,142.359779
314.139736,1000,143.318649
351.13736,1000,145.137516
352.403231,1000,146.128778
368.801658,1000,148.056313
374.045371,1000,149.01063
423.729464,1000,150.818879
396.330102,1000,151.80934
437.125292,1000,153.765002
368.434742,1000,154.739445
489.193661,1000,156.537583
485.738632,1000,157.51072
492.255597,1000,159.626136
322.132865,1000,160.643763
556.893652,1000,162.466685
460.655476,1000,163.448747
438.920099,1000,165.536195
490.443755,1000,166.494628
539.84657,1000,168.446985
602.574571,1000,169.464713
450.77359,1000,171.513908
501.126944,1000,172.477162
562.92315,1000,174.320286
583.834407,1000,175.29595
618.861771,1000,177.239038
520.243024,1000,178.239017
557.732961,1000,180.168268
612.01026,1000,181.261808
602.928012,1000,183.426616
514.041448,1000,184.455967
592.627596,1000,185.47326
676.869977,1000,187.280524
581.679122,1000,188.221015
721.925633,1000,190.156543
653.292757,1000,191.102914
687.351986,1000,193.004472
658.303698,1000,194.047968
642.546773,1000,196.004187
711.361857,1000,196.98005
666.955514,1000,198.987056
698.786969,1000,199.942641
667.94051,1000,201.896402
731.218032,1000,202.857876
665.249778,1000,204.685279
752.87181,1000,205.673053
677.884673,1000,207.617265
731.301642,1000,208.590188
608.140873,1000,210.598172
760.464018,1000,211.5564
659.697323,1000,213.532915
757.515813,1000,214.486624
683.614518,1000,216.314462
732.986091,1000,217.321687
712.790368,1000,219.295281
773.498607,1000,220.246396
774.50951,1000,222.080993
783.865677,1000,223.068289
