#{"t_start": 1524074887.627351, "env_id": "Ant-v2"}
r,l,t
-2374.305092,1000,76.248282
-143.736118,69,76.389215
-61.467195,22,76.438935
-37.430561,15,76.472634
-50.927253,24,76.527506
-230.571934,89,76.729796
-2316.91203,1000,80.397968
-41.008149,25,80.442607
-127.683493,55,80.543593
-129.008439,66,80.664515
-23.977154,25,80.710467
-32.869515,14,80.736696
-40.093841,17,80.769446
-201.162647,62,80.887453
-279.500415,86,81.050605
-63.804376,41,81.128013
-53.824264,20,81.163752
-85.6532,46,81.246424
-47.048881,24,81.300517
-116.595308,65,81.428323
-54.686314,28,81.478597
-96.528404,31,81.533927
-30.572417,14,81.559121
-288.858013,156,81.841696
-84.767303,54,81.945784
-245.170732,106,82.190933
-42.453691,33,82.266156
-37.964926,22,82.317496
-2178.259534,1000,86.110694
-88.191327,69,86.251586
-55.372542,19,86.288961
-51.299563,27,86.340781
-149.555217,69,86.471677
-336.293629,130,86.716069
-56.525259,36,86.789278
-40.180632,21,86.832431
-26.833073,13,86.860024
-233.872722,115,87.096066
-28.302893,13,87.123822
-28.121385,16,87.158284
-14.383853,18,87.196755
-310.663839,153,87.51258
-354.052991,133,87.789091
-128.910301,50,87.906872
-155.671024,40,88.00544
-26.478464,11,88.033309
-37.938539,15,88.067151
-146.756417,55,88.189121
-120.718795,38,88.276778
-48.388029,19,88.319791
-267.226582,101,88.55792
-43.819421,47,88.662369
-119.703308,48,88.769061
-130.942595,50,88.892137
-92.564138,52,89.010133
-254.75541,119,89.280457
-19.48325,9,89.301331
-59.157061,28,89.365683
-26.682316,14,89.39706
-129.770719,52,89.495945
-357.37246,148,89.768421
-34.136267,26,89.816355
-36.709738,24,89.860051
-37.761529,14,89.88542
-423.741135,168,91.753979
-322.080226,170,92.066305
-63.252168,25,92.114151
-2092.565242,1000,94.077663
-50.7126,24,94.131655
-86.833147,38,94.218287
-106.714604,54,94.341523
-29.56653,13,94.370831
-243.153863,78,94.542326
-52.880737,18,94.582157
-161.895853,72,94.745118
-84.641742,35,94.825479
-122.076433,51,94.942029
-51.611179,24,94.990031
-93.354551,33,95.059056
-130.434841,49,95.1561
-50.726358,31,95.214047
-124.324617,60,95.329484
-154.392246,83,95.483052
-189.263855,69,97.092726
-82.607834,62,97.210193
-2216.738936,1000,99.056573
-72.931591,31,99.118354
-66.583235,33,99.194607
-2158.705825,1000,102.796113
-169.476501,97,102.969053
-23.238933,10,102.986699
-50.384908,20,103.023423
-2102.636383,1000,104.921726
-352.84234,147,105.247305
-30.890894,13,105.276638
-25.508205,13,105.306513
-209.68082,115,105.566617
-94.003438,51,105.680792
-39.272994,15,105.714096
-235.328575,126,105.989637
-2130.594442,1000,109.32078
-34.729381,13,109.344262
-78.992396,26,109.392388
-29.16998,18,109.425249
-148.714033,63,109.538768
-2064.532496,1000,111.65853
-17.181767,8,111.675351
-146.257734,67,111.803015
-209.09329,91,111.972494
-153.045706,68,112.095146
-41.956464,15,112.121845
-37.799403,15,113.648225
-46.012829,41,113.73662
-34.20609,15,113.768628
-30.351817,22,113.81512
-82.214204,24,113.863505
-41.290614,23,113.91194
-296.439528,126,114.173091
-80.930343,31,114.236892
-36.741476,23,114.282976
-2051.597984,1000,116.365617
-82.437309,23,116.418989
-2019.336087,1000,120.046627
-76.284385,38,120.114532
-19.503905,15,120.141823
-190.352819,86,120.294527
-49.155676,30,120.348792
-93.36466,63,120.462049
-293.32247,180,120.786826
-40.056673,20,120.82465
-37.932073,16,120.853063
-41.980965,24,120.896878
-119.773,57,120.999127
-1940.617233,1000,123.169434
-421.812074,226,125.114253
-87.30246,51,125.206472
-54.498004,45,125.294633
-57.921045,24,125.339355
-76.697851,51,125.443156
-89.889981,26,125.497539
-143.277215,70,125.641601
-69.182493,33,125.701538
-2002.627756,1000,127.683017
-173.003866,67,127.838972
-76.186141,47,127.941411
-180.649195,90,128.155251
-60.845276,25,128.211353
-57.338842,47,128.317009
-10.653377,12,128.34329
-31.650149,30,128.409268
-102.147462,49,128.520333
-80.671653,43,128.619323
-149.267246,75,128.774089
-85.077422,41,128.849866
-88.371448,60,128.965507
-65.699658,31,129.024215
-51.173661,23,129.066624
-102.193018,50,129.158805
-114.652514,38,129.228295
-82.465631,37,130.818648
-49.870106,25,130.86342
-56.988626,47,130.951346
-55.958724,18,130.983982
-11.581764,16,131.013262
-10.860895,15,131.040233
-78.912346,50,131.130728
-48.859018,24,131.174194
-71.713072,24,131.218347
-179.719594,114,131.423191
-29.852755,14,131.448772
-1891.462798,1000,133.422476
-29.252124,16,133.45865
-22.059172,12,133.485722
-43.903519,22,133.536375
-78.060563,35,133.617266
-237.076674,100,133.844732
-93.367115,47,133.949323
-151.511442,58,134.080909
-221.211637,95,134.279237
-100.829692,53,134.380888
